,x
533,-11.835863131093364
534,-14.188338023613047
535,-12.14035347783902
536,-12.97929360918885
537,-12.944468382942633
538,-13.289209824178728
539,-12.031347355507561
540,-13.050211392034745
541,-13.971033344264466
542,-14.217062222343205
543,-12.688357905815023
544,-14.685819419374829
545,-15.04380696432921
546,-14.668079294350958
547,-15.40745762902987
548,-13.630828333628047
549,-14.652047952826896
550,-14.577593053699287
551,-14.758716154203473
552,-14.296405778591675
553,-15.0980052136038
554,-14.317506002904887
555,-15.194582996654667
556,-15.500020427250593
557,-16.3465550608159
558,-14.668828301378827
559,-15.384008003121611
560,-15.857471976905886
561,-15.378840616758156
562,-16.2733290316013
563,-16.659508258918386
564,-15.445032040985627
565,-15.989388763558555
566,-15.37575816144607
567,-14.405410817749281
568,-15.736065498227722
569,-15.097551483960505
570,-16.51815877984452
571,-15.608145330823897
572,-15.616065633318335
573,-17.546252432034745
574,-16.17556373687189
575,-16.628284974118984
576,-16.38039994866367
577,-17.01507319647519
578,-16.20980594193976
579,-16.288465335083366
580,-16.562167710048744
581,-14.546895498813399
582,-17.719045134804148
583,-16.85865326150306
584,-17.93596026135508
585,-17.137903101982005
586,-17.01269022138508
587,-17.36281946944057
588,-16.825426855565556
589,-16.875046881162355
590,-17.10700672348956
591,-16.180680727854018
592,-16.30895901465942
593,-17.141471391226595
594,-16.686112665224847
595,-17.498693379103614
596,-15.803939906982878
597,-17.796695536906388
598,-16.363431371141356
599,-17.24503382312161
600,-15.956725196920885
601,-17.038448700686164
602,-17.448913701951756
603,-16.688445071946006
604,-16.556473880349458
605,-16.57079033391676
606,-16.567302919060367
607,-17.148307608207727
608,-15.952382637372578
609,-15.909464233980254
610,-16.015723195639545
611,-15.619299251548806
612,-16.504898383862518
613,-17.12386823972903
614,-15.317085187321334
615,-17.564291876195977
616,-16.561537799624297
617,-16.397271967483317
618,-16.789672442741157
619,-16.228860361020125
620,-16.337745389670793
621,-16.25454130183702
622,-16.39794658704912
623,-16.797800096626172
624,-14.854640236263718
625,-15.792233473173354
626,-15.346185042556431
627,-15.012115292504687
628,-15.457242044609924
629,-16.629553087307336
630,-15.008762138329459
631,-16.11263854671116
632,-17.57454765849119
633,-16.478851312457945
634,-15.670271353667792
635,-15.33115299848069
636,-16.69273810543882
637,-15.188231631626547
638,-15.242925683720035
639,-15.253499717584551
640,-16.383802027149105
641,-16.22094133369129
642,-16.267328342213723
643,-15.535994503421572
644,-14.92310043223747
645,-16.781391888850642
646,-15.427153525609798
647,-16.448549128691663
648,-15.164032352221472
649,-15.76392800518035
650,-15.24211351630746
651,-16.525466830923886
652,-15.689357473320584
653,-15.321902976796151
654,-15.34103629336008
655,-15.57364049736308
