,y
653,3.8775552743265305
654,4.453194616738095
655,4.60313849162585
656,4.359496284091836
657,4.861049308034014
658,4.592875286782313
659,4.864043258377551
660,4.81272768927551
661,5.372062654527211
662,6.300306655217687
663,5.252876251017007
664,4.788241798836735
665,6.095595226993197
666,6.499709437962585
667,5.675844382636054
668,5.02311818655102
669,5.847381007731292
670,6.8763141168571424
671,7.436251812982992
672,6.762964879343537
673,6.365568237452381
674,6.823867260959183
675,7.271417027326531
676,7.55144503652381
677,7.679508355231293
678,8.28917173990136
679,8.852035161346938
680,8.890540279278913
681,9.227035763292516
682,7.652145180037414
683,7.3459503678979585
684,8.92746604260204
685,8.992146152244898
686,8.591735020894559
687,9.679176734993199
688,10.65177287377551
689,10.323342729744898
690,10.128186725153062
691,9.656624500112246
692,9.778948509493198
693,10.713988835680272
694,10.792570164115647
695,10.240991436207484
696,10.737716867812924
697,11.648776261020407
698,11.53575220217687
699,11.935291882653061
700,12.069253347210884
701,11.89274746207483
702,11.767369549727892
703,11.627051237244897
704,11.590965486700679
705,11.164983183673469
706,11.94046469952381
707,11.991999498333332
708,11.578082406836733
709,12.017050312517007
710,12.13504749707483
711,11.778189460646258
712,10.81695765095238
713,11.043934518571428
714,11.010891725306122
715,10.908310249523808
716,10.875860210238095
717,11.261803837517007
718,11.492711632993197
719,11.299563318095238
720,10.672952314574829
721,10.97629792579932
722,11.763736264625852
723,11.662700302142857
724,11.466631609081633
725,11.097736535170068
726,10.309151433197279
727,10.009703695285715
728,10.563447480918368
729,10.245680198639455
730,10.420623626955782
731,9.765313348071428
732,10.484552902115645
733,11.18272513377551
734,10.056146029931973
735,9.413710692051021
736,10.109619708989797
737,10.199972595765306
738,8.90484800694898
739,8.982751746714285
740,9.335346845193877
741,9.66237269177551
742,9.504044098649661
743,8.904899014244899
744,9.322550676166667
745,9.626867794717686
746,9.522519674581632
747,9.619152211139456
748,9.834624648945578
749,9.125345800496598
750,9.292502455659864
751,10.095615764687075
752,11.034789553146258
753,10.343504998547619
754,10.51259095244898
755,11.211666185646258
756,11.324605348112245
757,10.82554396392857
758,11.877441609081632
759,11.646704021156463
760,10.90403013914966
761,11.045022015204081
762,11.681477359999999
763,12.432067268605442
764,12.234912860544217
765,12.58238596414966
766,12.599508014727892
767,12.214471267823129
768,12.262966610272109
769,12.090742972619047
770,12.840400072414965
771,14.28790626962585
772,13.25586673527211
773,13.640958876462586
774,14.146444526054422
775,13.984574041938776
776,14.173656562108842
777,14.74865463057823
778,15.108172715782313
779,14.369220840408163
780,14.055346776564626
781,13.784320949319728
782,14.305816772346938
783,15.190095397755101
784,15.032047675136054
785,14.386847328469386
786,14.36739411755102
787,14.055240631768708
788,14.689037743639455
789,14.843156249591836
790,14.641291385306122
791,14.052689624897958
792,14.335029292755102
793,15.204459282959183
794,14.930066018639456
795,14.524468455204081
796,13.937973745510204
797,13.971542333129252
798,14.480344396598639
799,14.481340284319726
800,14.066429046190475
801,14.290399357142856
802,14.063669625918367
803,13.841662482823128
804,14.038519253435373
805,13.496821699387755
806,13.26663774727891
807,12.5376947535034
808,12.627494489047619
809,12.956103650102042
810,12.570722613435375
811,11.932005814693877
812,12.444402949387754
813,12.661289697993196
814,12.57529283642857
815,11.765988006836736
816,11.546036369353741
817,11.870314181870748
818,11.411549799421769
819,10.47455098462585
820,11.130361116938776
821,10.09062777702381
822,9.069446778142858
823,9.871268748588436
824,9.721381768571428
825,9.260600315465986
826,9.714959921840135
827,9.727964642602041
828,8.91307817107143
829,8.689562098921769
830,7.761568196391155
831,7.525306529850339
832,7.209910771571428
833,6.482376434006803
834,7.161349457901361
835,6.690466104870748
836,6.095789974088436
837,6.671481861102041
838,6.739419207
839,6.568693125384354
840,5.725959525561224
841,5.004618235306123
842,4.489748702397959
843,4.190210470343537
844,3.9696172942142858
845,3.279506486085034
846,3.177172018887755
847,3.379931435891157
848,2.855591864826531
849,2.6284132655884354
850,2.9864312428367352
851,2.487144171057823
852,2.2582548469149657
853,1.6225610933435375
854,1.3843689764693878
855,0.8189524939693879
856,0.5317273621904762
857,0.9813638517993197
858,1.2080215482619048
859,0.6775351387482994
860,0.27090513313945574
861,0.17625787750680272
862,0.6690384173265306
863,0.18891588508503399
864,-0.9759084473571428
865,-1.8350754669387754
866,-2.2103632032993197
867,-1.5627310879863943
868,-1.2415295811462586
869,-1.8117893564863945
870,-2.2570981099115643
871,-2.691091194207483
872,-2.6998535517755102
873,-2.6287888359081633
874,-2.9254513146020407
875,-3.172804404367347
876,-3.7235083546870746
877,-4.029963897452381
878,-3.73611649672449
879,-4.01229138055102
880,-4.807716077486395
881,-3.914579218901361
882,-4.000965008299319
883,-3.983516797153061
884,-3.8948767930238093
885,-4.544479991615646
886,-5.105004945931974
887,-5.048959333707483
888,-4.09076808112245
889,-4.263046948891157
890,-5.363868656435375
891,-6.121259249112246
892,-6.179594105863946
893,-6.05625653302381
894,-6.189990615309524
895,-6.320984606986395
896,-6.479193814387755
897,-6.8362129461224495
898,-6.756959659846939
899,-7.1880968679285715
900,-7.668710249265306
901,-7.390134555510204
902,-7.755063266721089
903,-7.908096784982994
904,-8.028824088020409
905,-7.905050546959184
906,-7.1991387774047615
907,-7.168648232707484
908,-7.681970276391157
909,-7.466788758557823
910,-7.338971784071429
911,-7.9958548780714285
912,-7.55671614897619
913,-8.19747938177551
914,-9.250057135289115
915,-9.304912681921769
916,-9.121192551125851
917,-9.900954148265306
918,-10.14011539132653
919,-10.823310315408163
920,-11.358203868163265
921,-11.033123018639456
922,-10.861051840612244
923,-11.978885121564625
924,-13.047087736496598
925,-11.79408928132653
926,-12.09887641340136
927,-13.270164996292518
928,-13.005060895544219
929,-13.151731641632653
930,-13.113045589693877
931,-13.502292928707483
932,-14.04159380037415
933,-13.82889779670068
934,-14.120618592585034
935,-14.119562695544218
936,-13.756929587959183
937,-14.641350701190476
938,-13.751475400884354
939,-14.422383359931974
940,-14.798104160340138
941,-14.679324257585035
942,-15.048800466632654
943,-14.734991995442178
944,-15.194823577244897
945,-15.554030296938775
946,-15.383606034795918
947,-15.032558040408164
948,-14.617964928435374
949,-14.890759150306122
950,-15.275887020306122
951,-14.98912239414966
952,-14.53132823989796
953,-14.534088038061224
954,-14.350122561734693
955,-14.545107823095238
956,-14.488190922755102
957,-13.929380041632655
958,-13.936314049183673
959,-14.9176890357483
960,-14.9193758
961,-14.323876717142857
962,-14.413297224353743
963,-14.315872837755101
964,-14.0736772714966
965,-13.609884515238097
966,-13.178510416326532
967,-13.133043808741498
968,-13.407266791564625
969,-12.965721981564625
970,-12.246235362278911
971,-12.400001125714287
972,-12.096770509285715
973,-11.56633510877551
974,-12.04499186670068
975,-11.999161050884354
976,-11.657337690986395
977,-11.016118800272109
978,-10.798442557210883
979,-11.001293516972789
980,-10.807631763707484
981,-9.912032761394558
982,-9.84014659452381
983,-9.452568581547618
984,-8.82885820305102
985,-8.71071080457483
986,-8.167642321595238
987,-8.646270857244899
988,-9.147796436547619
989,-8.60651023552721
990,-8.211923391010204
991,-6.64845158764966
992,-7.140730092180272
993,-7.499977630183674
994,-6.415519669591837
995,-7.054397883020409
996,-5.997347807251701
997,-4.941474667054422
998,-4.426817467340136
999,-4.254526947520408
1000,-4.279249473044218
1001,-4.6938132525510206
1002,-4.074948187581633
1003,-2.3683544586496597
1004,-2.314935476568027
1005,-2.6946308972142856
1006,-3.6335642242108843
1007,-2.776583032612245
1008,-1.5193641113537415
1009,-0.825604638585034
1010,-1.3256310054795917
1011,-0.47794832654081626
